registrable,screenshot_path,screenshot_phash,ocr_text,ocr_length,ocr_has_login_keywords,ocr_has_verify_keywords
nta.ac.in,CSE\out\screenshots\nta.ac.in_99a7d9d8_full.png,aa902ad4b5e7f522,,0,0,0
ntpc.co.in,CSE\out\screenshots\ntpc.co.in_ee482a85_full.png,a73d38f0e0c2cacb,,0,0,0
ongcindia.com,CSE\out\screenshots\ongcindia.com_1d5606c5_full.png,9e0e6070797f7701,,0,0,0
orientalinsurance.org.in,CSE\out\screenshots\orientalinsurance.org.in_ab79b7bb_full.png,c9496b2f3c362e32,,0,0,0
pnbindia.in,CSE\out\screenshots\pnbindia.in_c7493779_full.png,bf1b58104345e3be,,0,0,0
powergrid.in,CSE\out\screenshots\powergrid.in_7929c3ed_full.png,b636362666666666,,0,0,0
punjab.gov.in,CSE\out\screenshots\punjab.gov.in_f7b1b0dd_full.png,80fb2bb740167e66,,0,0,0
py.gov.in,CSE\out\screenshots\py.gov.in_1ddc97e3_full.png,ebe310b61cc9c959,,0,0,0
railtelindia.com,CSE\out\screenshots\railtelindia.com_eb780740_full.png,bd5054ee7c10393d,,0,0,0
rajasthan.gov.in,CSE\out\screenshots\rajasthan.gov.in_52bcf139_full.png,f2541272087753df,,0,0,0
rbi.org.in,CSE\out\screenshots\rbi.org.in_b46220be_full.png,fa6a62b5859dc8c8,,0,0,0
recindia.nic.in,CSE\out\screenshots\recindia.nic.in_12735a9d_full.png,ce1317cec99dcc48,,0,0,0
sail.co.in,CSE\out\screenshots\sail.co.in_2264097b_full.png,9e194e469b8f4e19,,0,0,0
sbi.co.in,CSE\out\screenshots\sbi.co.in_c0feeec6_full.png,be81c166c43b3b99,,0,0,0
sbicard.com,CSE\out\screenshots\sbicard.com_19e416c2_full.png,877c077c076f2703,,0,0,0
sbiepay.sbi,CSE\out\screenshots\sbiepay.sbi_2fe69f1c_full.png,bb48481b49493fcf,,0,0,0
sebi.gov.in,CSE\out\screenshots\sebi.gov.in_a6ff308c_full.png,c34313b1b93d6969,,0,0,0
sikkim.gov.in,CSE\out\screenshots\sikkim.gov.in_3cf51cc3_full.png,eaca58c96b859535,,0,0,0
tn.gov.in,CSE\out\screenshots\tn.gov.in_ec86b210_full.png,9a9224e563e3bd38,,0,0,0
tripura.gov.in,CSE\out\screenshots\tripura.gov.in_1207646c_full.png,aef041a7c08f1fc9,,0,0,0
uidai.gov.in,CSE\out\screenshots\uidai.gov.in_7aca623e_full.png,b1b3933b9991a9a2,,0,0,0
wipro.com,CSE\out\screenshots\wipro.com_99dd5fbe_full.png,aa19d0cceae887c7,,0,0,0
yonobusiness.sbi,CSE\out\screenshots\yonobusiness.sbi_30671ce0_full.png,b39370ca4accceca,,0,0,0
