registrable,url,doc_has_verdict,doc_verdict,doc_risk_score,doc_form_count,doc_submit_buttons,doc_has_login_keywords,doc_has_verify_keywords,doc_has_password_keywords,doc_has_credential_keywords,doc_length
tripura.gov.in,https://tripura.gov.in/,1,benign,0,0,,0,0,0,0,480
wb.gov.in,,1,benign,0,0,,0,0,0,0,546
up.gov.in,,1,benign,0,0,,0,0,0,0,507
parivahan.gov.in,,1,benign,0,0,,0,0,0,0,492
uidai.gov.in,https://uidai.gov.in/,1,benign,0,0,,0,0,0,0,368
uk.gov.in,,0,,0,0,,0,0,0,0,89
tcs.com,,1,benign,0,0,,0,0,0,0,755
bhimupi.org.in,https://www.bhimupi.org.in/,0,,0,0,,0,0,0,0,529
aicte-india.org,https://aicte.gov.in/,1,benign,0,1,Search,1,1,0,0,653
bseindia.com,https://www.bseindia.com/,1,benign,0,2,,1,0,0,0,590
epfindia.gov.in,https://www.epfindia.gov.in/site_en/index.php,1,benign,10,0,,1,0,0,0,682
dgft.gov.in,https://www.dgft.gov.in/CP/,1,benign,0,1,,1,1,0,0,702
goa.gov.in,https://www.goa.gov.in/,1,benign,0,1,,0,0,0,0,639
esic.nic.in,https://esic.gov.in/,1,benign,0,1,Search,1,0,0,0,607
iitd.ac.in,https://home.iitd.ac.in/,1,benign,0,1,,0,0,0,0,569
gst.gov.in,https://www.gst.gov.in/,1,benign,0,0,,1,1,0,0,500
digilocker.gov.in,https://www.digilocker.gov.in/,1,benign,10,0,,1,1,0,0,562
crsorgi.gov.in,https://dc.crsorgi.gov.in/crs/,1,benign,0,0,,1,0,0,0,496
hal-india.co.in,https://hal-india.co.in/home,1,benign,0,1,Start,1,0,0,0,613
meity.gov.in,https://www.meity.gov.in/,0,,0,0,,0,0,0,0,362
iitb.ac.in,https://www.iitb.ac.in/,1,benign,0,2,"Search, Go",0,0,0,0,641
indianbank.in,https://www.indianbank.in/,1,benign,0,3,,0,0,0,0,626
education.gov.in,http://www.education.gov.in/,1,benign,0,0,,0,0,0,0,387
idbi.com,https://www.idbi.bank.in/,1,benign,0,0,,0,1,0,0,506
ntpc.co.in,https://validate.perfdrive.com/?ssa=aa65afc4-5226-4480-b5fb-a1d39d7b0a23&ssb=29105227192&ssc=https%3A%2F%2Fntpc.co.in%2F&ssi=221ce59d-cs5n-4b36-b3ca-2c66d350b38a&ssk=botmanager_support@radware.com&ssm=44559758292098665103437416077107&ssn=cfa868bad9910c9c4cf2210d5c1d8d2c26794c10434b-5307-49c3-9c3316&sso=c06ae48b-73b3d53245266f5843e0cf8dd969e4a1ff1accd36c87235e&ssp=13717539771760477077176046238260380&ssq=46792325297871368799052978548368989233665&ssr=MTM2LjIzMi4xNTUuMTc4&sst=IC05-Prober/1.0%20(+https://example)&ssu=&ssv=&ssw=&ssx=eyJfX3V6bWYiOiI3ZjkwMDA0YzEwNDM0Yi01MzA3LTQ5YzMtOTQ4Yi03M2IzZDUzMjQ1MjYxLTE3NjA0NTI5Nzg4NDMwLTAwMWI1YmQyYWE4NTU5NmExMzkxMCIsInV6bXgiOiI3ZjkwMDA4NWYxYzYwYy02ZThiLTQwNmMtYjFiZC1kNTUwMzUzNzE1MDQxLTE3NjA0NTI5Nzg4NDMwLWQ0NzE1N2FlMjY0Y2JjMDUxMCIsInJkIjoibnRwYy5jby5pbiJ9,1,benign,31,1,,0,0,0,0,1410
nic.gov.in,https://www.nic.gov.in/,1,benign,0,0,,0,0,0,0,370
powergrid.in,https://www.powergrid.in/,1,benign,0,0,,0,0,0,0,376
railtelindia.com,https://www.railtel.in/hi/,1,benign,0,0,,0,0,0,0,452
tn.gov.in,https://www.tn.gov.in/,1,benign,0,0,,1,0,0,0,481
sebi.gov.in,https://www.sebi.gov.in/,1,benign,0,1,,1,0,0,0,660
sikkim.gov.in,https://www.sikkim.gov.in/,1,benign,0,1,,1,0,0,0,582
icicicareers.com,,1,benign,0,0,,0,0,0,0,449
hdfc.com,,1,benign,0,0,,0,0,0,0,596
yonobusiness.sbi,,1,benign,0,0,,0,0,0,0,595
hdfcbank.com,,1,benign,0,0,,0,0,0,0,606
sbi.co.in,,1,benign,0,0,,0,0,0,0,562
icicidirect.com,,1,benign,0,0,,0,0,0,0,656
icicilombard.com,,1,benign,0,0,,0,0,0,0,743
pnbindia.in,,0,,0,0,,0,0,0,0,426
iciciprulicfe.com,,1,benign,0,0,,0,0,0,0,253
airtel.in,,0,,0,0,,0,0,0,0,783
netpnb.com,https://netpnb.com/,1,benign,0,0,,0,0,0,0,434
icicibank.com,,1,benign,0,0,,0,0,0,0,651
sbicard.com,,1,benign,0,0,,0,0,0,0,622
airtel.com,,1,benign,0,0,,0,0,0,0,889
iocl.com,https://iocl.com/,1,benign,0,1,,0,0,0,0,560
hdfcergo.com,,1,benign,0,0,,0,0,0,0,631
irctc.com,https://irctc.com/,1,benign,0,2,,1,1,0,0,579
hdfclife.com,,1,benign,0,0,,0,0,0,0,683
sbiepay.sbi,,1,benign,0,0,,0,0,0,0,591
bobibanking.com,,1,benign,0,0,,0,0,0,0,481
hdfcbank.com,https://www.hdfcbank.com/,1,benign,0,1,Send,1,0,0,0,721
bankofbaroda.in,https://bankofbaroda.in/,1,benign,0,0,,0,0,0,0,449
yonobusiness.sbi,https://yonobusiness.sbi.bank.in/,1,benign,0,1,SEND,1,0,0,0,654
mail.gov.in,https://kavach.mail.gov.in/mfid/secureLogin_showSecureLogin.action#!,1,benign,15,3,,1,0,0,0,678
mgovcloud.in,https://accounts.mgovcloud.in/signin?servicename=AaaServer&serviceurl=https%3A%2F%2Faccounts.mgovcloud.in%2Fhome,1,benign,20,7,,1,1,0,0,812
sbi.co.in,https://sbi.co.in/redirect/,1,benign,0,0,,0,0,0,0,453
icicidirect.com,https://icicidirect.com/login.aspx?ReturnUrl=%2f,1,benign,15,0,,1,0,0,0,572
pnbindia.in,https://pnb.bank.in/hi/,1,benign,0,1,,0,0,0,0,632
airtel.in,https://www.airtel.in/,1,benign,0,0,,1,0,0,0,489
icicibank.com,https://www.icicibank.com/,1,benign,0,1,,1,0,0,0,728
airtel.com,https://www.airtel.com/,1,benign,0,0,,0,0,0,0,443
sbicard.com,https://www.sbicard.com/,1,benign,0,4,,1,1,0,0,672
sbiepay.sbi,https://epay.sbi.bank.in/secure/home,1,benign,10,0,,1,1,0,0,608
hdfcergo.com,https://www.hdfcergo.com/,1,benign,0,5,,1,0,0,0,704
bobibanking.com,https://feba.bobibanking.com/default.htm,1,benign,10,1,,1,0,0,0,671
hdfclife.com,https://www.hdfclife.com/,1,benign,0,21,"GET APP LINK, GET APP LINK, PROCEED, Verify, PROCEED",1,1,0,0,778
